# Undirected 3-regular random graph, seed 100283
n = 32
m = 63
0 : 1w21 16w99 20w5 24w4
1 : 0w21 13w86 19w94 27w70
2 : 21w89 22w53 28w78 29w52
3 : 18w45 24w71 25w87 26w100
4 : 5w29 7w79 22w53 31w58
5 : 4w29 16w88 19w91 31w53
6 : 8w45 9w55 15w93 30w65
7 : 4w79 18w3 20w17 29w100
8 : 6w45 13w77 22w6 25w26
9 : 6w55 12w93 21w82 28w51
10 : 17w99 21w62 25w16 28w97
11 : 13w80 26w90 28w36 30w58
12 : 9w93 23w11
13 : 1w86 8w77 11w80 14w90
14 : 13w90 15w70 16w29 19w94
15 : 6w93 14w70 21w28 27w29
16 : 0w99 5w88 14w29 27w67
17 : 10w99 18w30 24w85 30w60
18 : 3w45 7w3 17w30 25w97
19 : 1w94 5w91 14w94 20w78
20 : 0w5 7w17 19w78 23w71
21 : 2w89 9w82 10w62 15w28
22 : 2w53 4w53 8w6 29w47
23 : 12w11 20w71 29w85 30w90
24 : 0w4 3w71 17w85 31w11
25 : 3w87 8w26 10w16 18w97
26 : 3w100 11w90 27w71 31w94
27 : 1w70 15w29 16w67 26w71
28 : 2w78 9w51 10w97 11w36
29 : 2w52 7w100 22w47 23w85
30 : 6w65 11w58 17w60 23w90
31 : 4w58 5w53 24w11 26w94
